SourceBlock,Instrument,ExpiryLbl,TenorLbl,Te,SwapTenorY,FwdRate,MoneynessBP,Strike,OptType,PremiumBP,Annuity_Te,PricePerAnnuity,Model,Shift,ImplVol,Status,Greek,BumpType,Bump,Value_Annuity_FD,Value_Price_FD,Value_Annuity_ANA,Value_Price_ANA,AbsErr_Price,RelErr_Price,ParDeltaAnn_per1bp,ParDeltaPrice_per1bp,Note
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.05,0.05854102289211893,OK,VEGA,VOL,0.005,0.005374206842331808,0.021779085853359016,0.005374207302419673,0.02177908771787473,-1.8645157154328906e-09,-8.561036805516092e-08,-0.0010543013709676252,-3.317032195063187e-07,
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.05,0.05854102289211893,OK,VEGA,VOL,0.01,0.005374205462067676,0.021779080259809694,0.005374207302419673,0.02177908771787473,-7.458065037074801e-09,-3.424415721028457e-07,-0.0010543013709676252,-3.317032195063187e-07,
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.05,0.06540087999468225,OK,DELTA,FWD_BPS,0.5,0.5037340976409704,2.554677872476173,0.503739999082507,2.5547078015244145,-2.9929048241505996e-05,-1.1715253002181734e-05,-0.0015737489049674203,-5.585642668180152e-07,
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.05,0.06540087999468225,OK,DELTA,FWD_BPS,1.0,0.5037164490972675,2.554588368223254,0.503739999082507,2.5547078015244145,-0.00011943330116048756,-4.675027848164113e-05,-0.0015737489049674203,-5.585642668180152e-07,
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.05,0.06540087999468225,OK,DELTA,FWD_BPS,2.0,0.50364668464308,2.554234559123904,0.503739999082507,2.5547078015244145,-0.00047324240051027644,-0.0001852432596118777,-0.0015737489049674203,-5.585642668180152e-07,
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.05,0.06540087999468225,OK,VEGA,VOL,0.0025,0.005426769600522241,0.027521758567476715,0.005426769716667414,0.027521759156504746,-5.890280312115248e-10,-2.1402266761436596e-08,-0.0015737489049674203,-5.585642668180152e-07,
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.05,0.06540087999468225,OK,VEGA,VOL,0.005,0.005426769252087071,0.027521756800394395,0.005426769716667414,0.027521759156504746,-2.3561103519587068e-09,-8.56090026280839e-08,-0.0015737489049674203,-5.585642668180152e-07,
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.05,0.06540087999468225,OK,VEGA,VOL,0.01,0.005426767858348475,0.027521749732075673,0.005426769716667414,0.027521759156504746,-9.424429073950913e-09,-3.424355623620613e-07,-0.0015737489049674203,-5.585642668180152e-07,
ATM,ATM 1M x 6Y,1M,6Y,0.0821917808219178,6.0,-0.0020399999999999997,0.0,-0.0020399999999999997,CALL/PAYER,24.0,6.094626774759634,0.00039378949502525583,BLACK_SHIFT,0.05,0.07179072788169075,OK,DELTA,FWD_BPS,0.5,0.5041001318952659,3.072302161008751,0.5041053950706659,3.0723342380984633,-3.20770897124234e-05,-1.044062501880545e-05,-0.0021976836691410817,-8.654247426325914e-07,
ATM,ATM 1M x 6Y,1M,6Y,0.0821917808219178,6.0,-0.0020399999999999997,0.0,-0.0020399999999999997,CALL/PAYER,24.0,6.094626774759634,0.00039378949502525583,BLACK_SHIFT,0.05,0.07179072788169075,OK,DELTA,FWD_BPS,1.0,0.504084382790676,3.0722061760942387,0.5041053950706659,3.0723342380984633,-0.0001280620042245495,-4.168231523657724e-05,-0.0021976836691410817,-8.654247426325914e-07,
