SourceBlock,Instrument,ExpiryLbl,TenorLbl,Te,SwapTenorY,FwdRate,MoneynessBP,Strike,OptType,PremiumBP,Annuity_Te,PricePerAnnuity,Model,Shift,ImplVol,Status,CashIRR_Annuity,PricePerCashIRRAnnuity,CashIRRPremiumBP,CashIRRStatus
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.01,0.4167882596428586,OK,5.038478813639118,0.0003549259127840869,17.88286691974147,OK
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.02,0.17785458296935103,OK,5.038478813639118,0.0003549259127944536,17.882866920263798,OK
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.03,0.11305508683745646,OK,5.038478813639118,0.0003549259128582515,17.88286692347824,OK
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.05,0.06540087999468225,OK,5.038478813639118,0.0003549259129299147,17.882866927088973,OK
ATM,ATM 1M x 6Y,1M,6Y,0.0821917808219178,6.0,-0.0020399999999999997,0.0,-0.0020399999999999997,CALL/PAYER,24.0,6.094626774759634,0.00039378949502525583,NORMAL,0.0,0.003443022556351597,OK,6.0430741716786045,0.00039378949722341985,23.79699139749152,OK
ATM,ATM 1M x 6Y,1M,6Y,0.0821917808219178,6.0,-0.0020399999999999997,0.0,-0.0020399999999999997,CALL/PAYER,24.0,6.094626774759634,0.00039378949502525583,BLACK_SHIFT,0.01,0.43281803219483406,OK,6.0430741716786045,0.0003937894950293702,23.796991264903475,OK
ATM,ATM 1M x 6Y,1M,6Y,0.0821917808219178,6.0,-0.0020399999999999997,0.0,-0.0020399999999999997,CALL/PAYER,24.0,6.094626774759634,0.00039378949502525583,BLACK_SHIFT,0.02,0.19172917524242372,OK,6.0430741716786045,0.00039378949506415663,23.796991267005644,OK
ATM,ATM 1M x 6Y,1M,6Y,0.0821917808219178,6.0,-0.0020399999999999997,0.0,-0.0020399999999999997,CALL/PAYER,24.0,6.094626774759634,0.00039378949502525583,BLACK_SHIFT,0.03,0.12314740178324102,OK,6.0430741716786045,0.0003937894949482858,23.79699126000348,OK
ATM,ATM 1M x 6Y,1M,6Y,0.0821917808219178,6.0,-0.0020399999999999997,0.0,-0.0020399999999999997,CALL/PAYER,24.0,6.094626774759634,0.00039378949502525583,BLACK_SHIFT,0.05,0.07179072788169075,OK,6.0430741716786045,0.00039378949517826847,23.796991273901508,OK
ATM,ATM 1M x 7Y,1M,7Y,0.0821917808219178,7.0,-0.00147,0.0,-0.00147,CALL/PAYER,30.5,7.117618373361374,0.00042851412368707876,NORMAL,0.0,0.0037466306245980538,OK,7.0413422193148785,0.00042851412263349414,30.173145832718955,OK
ATM,ATM 1M x 7Y,1M,7Y,0.0821917808219178,7.0,-0.00147,0.0,-0.00147,CALL/PAYER,30.5,7.117618373361374,0.00042851412368707876,BLACK_SHIFT,0.01,0.43952045172223664,OK,7.0413422193148785,0.00042851412367215375,30.173145905854533,OK
ATM,ATM 1M x 7Y,1M,7Y,0.0821917808219178,7.0,-0.00147,0.0,-0.00147,CALL/PAYER,30.5,7.117618373361374,0.00042851412368707876,BLACK_SHIFT,0.02,0.2022210113829982,OK,7.0413422193148785,0.00042851412372710285,30.173145909723686,OK
ATM,ATM 1M x 7Y,1M,7Y,0.0821917808219178,7.0,-0.00147,0.0,-0.00147,CALL/PAYER,30.5,7.117618373361374,0.00042851412368707876,BLACK_SHIFT,0.03,0.13133024669799293,OK,7.0413422193148785,0.00042851412369289757,30.173145907315178,OK
ATM,ATM 1M x 7Y,1M,7Y,0.0821917808219178,7.0,-0.00147,0.0,-0.00147,CALL/PAYER,30.5,7.117618373361374,0.00042851412368707876,BLACK_SHIFT,0.05,0.07720393802572645,OK,7.0413422193148785,0.00042851412372708897,30.17314590972271,OK
ATM,ATM 1M x 8Y,1M,8Y,0.0821917808219178,8.0,-0.0008799999999999999,0.0,-0.0008799999999999999,CALL/PAYER,37.5,8.138986830230705,0.0004607453087491608,NORMAL,0.0,0.0040284377705849805,OK,8.03177317391216,0.00046074530686649877,37.006017956962715,OK
ATM,ATM 1M x 8Y,1M,8Y,0.0821917808219178,8.0,-0.0008799999999999999,0.0,-0.0008799999999999999,CALL/PAYER,37.5,8.138986830230705,0.0004607453087491608,BLACK_SHIFT,0.01,0.442010234367634,OK,8.03177317391216,0.000460745308726411,37.006018106346644,OK
ATM,ATM 1M x 8Y,1M,8Y,0.0821917808219178,8.0,-0.0008799999999999999,0.0,-0.0008799999999999999,CALL/PAYER,37.5,8.138986830230705,0.0004607453087491608,BLACK_SHIFT,0.02,0.2107243935981733,OK,8.03177317391216,0.00046074530876629924,37.006018109550375,OK
