SourceBlock,Instrument,ExpiryLbl,TenorLbl,Te,SwapTenorY,FwdRate,MoneynessBP,Strike,OptType,PremiumBP,Annuity_Te,PricePerAnnuity,Model,Shift,ImplVol,Status,d1,d2,PremAnn_ANA,DeltaAnn_ANA,VegaAnn_ANA,Price_ANA,DeltaPrice_ANA,VegaPrice_ANA,DeltaPrice_per1bp,VegaPrice_per1pct,ParDeltaAnn_per1bp,ParDeltaPrice_per1bp,DeltaAnn_FD_df=0.5bps,DeltaAnn_FD_AbsErr_df=0.5bps,DeltaAnn_FD_RelErr_df=0.5bps,DeltaPrice_FD_df=0.5bps,DeltaPrice_FD_AbsErr_df=0.5bps,DeltaPrice_FD_RelErr_df=0.5bps,DeltaAnn_FD_df=1.0bps,DeltaAnn_FD_AbsErr_df=1.0bps,DeltaAnn_FD_RelErr_df=1.0bps,DeltaPrice_FD_df=1.0bps,DeltaPrice_FD_AbsErr_df=1.0bps,DeltaPrice_FD_RelErr_df=1.0bps,DeltaAnn_FD_df=2.0bps,DeltaAnn_FD_AbsErr_df=2.0bps,DeltaAnn_FD_RelErr_df=2.0bps,DeltaPrice_FD_df=2.0bps,DeltaPrice_FD_AbsErr_df=2.0bps,DeltaPrice_FD_RelErr_df=2.0bps,VegaAnn_FD_dv=0.0025,VegaAnn_FD_AbsErr_dv=0.0025,VegaAnn_FD_RelErr_dv=0.0025,VegaPrice_FD_dv=0.0025,VegaPrice_FD_AbsErr_dv=0.0025,VegaPrice_FD_RelErr_dv=0.0025,VegaAnn_FD_dv=0.005,VegaAnn_FD_AbsErr_dv=0.005,VegaAnn_FD_RelErr_dv=0.005,VegaPrice_FD_dv=0.005,VegaPrice_FD_AbsErr_dv=0.005,VegaPrice_FD_RelErr_dv=0.005,VegaAnn_FD_dv=0.01,VegaAnn_FD_AbsErr_dv=0.01,VegaAnn_FD_RelErr_dv=0.01,VegaPrice_FD_dv=0.01,VegaPrice_FD_AbsErr_dv=0.01,VegaPrice_FD_RelErr_dv=0.01
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.05,0.03336169086604526,OK,0.004782249751649897,-0.004782249751649897,0.0001741089627234002,0.5019078343493688,0.005218789303603734,0.0001749999999073692,0.5044764473393911,0.00524549749399252,5.0447644733939116e-05,5.2454974939925195e-05,-0.00010991612671895634,-1.9137382809611304e-08,0.5018953548300772,-1.247951929161939e-05,-2.486416516649275e-05,0.5044639039536819,-1.2543385709218313e-05,-2.486416516642577e-05,0.5018584038533718,-4.943049599703819e-05,-9.848520507976478e-05,0.504426763873017,-4.968346637412857e-05,-9.848520507975978e-05,0.5017176637037895,-0.00019017064557935726,-0.0003788955512636668,0.504285303457777,-0.00019114388161411977,-0.00037889555126351815,0.005218789191901996,-1.1170173813690454e-10,-2.1403764673881557e-08,0.005245497381719126,-1.1227339370700751e-10,-2.140376462587013e-08,0.005218788856800258,-4.468034761617723e-10,-8.561439256672823e-08,0.0052454970449024385,-4.490900810949494e-10,-8.561439245929985e-08,0.005218787516388622,-1.7872151120146285e-09,-3.4245780161703436e-07,0.00524549569763098,-1.7963615395535926e-09,-3.424578014975512e-07
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.05,0.042107796111992,OK,0.006035964972748065,-0.006035964972748065,0.00022326855547400576,0.5024079870089949,0.0053022448255198645,0.0004500000001822788,1.012608308257488,0.010686727324342005,0.00010126083082574879,0.00010686727324342004,-0.0003214865611580464,-7.177784011406263e-08,0.502398396260359,-9.590748635934787e-06,-1.9089562435167016e-05,1.012588978007965,-1.933024952283091e-05,-1.9089562435148e-05,0.5023698525453112,-3.813446368372553e-05,-7.590337866790876e-05,1.012531447865624,-7.686039186394211e-05,-7.590337866791225e-05,0.5022590337717351,-0.00014895323725983012,-0.0002964786410872949,1.012308091522302,-0.00030021673518598746,-0.0002964786410873964,0.005302244712034748,-1.134851162695738e-10,-2.1403220711983444e-08,0.010686727095611621,-2.2873038359183528e-10,-2.140322071012685e-08,0.005302244371576531,-4.5394333344356275e-10,-8.561342381979794e-08,0.01068672640941469,-9.149273144659631e-10,-8.561342370755177e-08,0.00530224300974956,-1.8157703040797002e-09,-3.4245312388072744e-07,0.01068672366463885,-3.659703155106664e-09,-3.4245312377070464e-07
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.05,0.0494141575368191,OK,0.0070832993314782385,-0.0070832993314782385,0.0002634779610571139,0.5028258039581415,0.005331944683781381,0.000799999999771767,1.5267335508359807,0.01618942141761731,0.00015267335508359808,0.00016189421417617313,-0.0006379136412268949,-1.6807618552098155e-07,0.502817717708548,-8.086249593475259e-06,-1.608161222002125e-05,1.526708998499053,-2.4552336927774476e-05,-1.6081612219978107e-05,0.5027935974858191,-3.2206472322382496e-05,-6.405095376740763e-05,1.526635762095901,-9.778874007970728e-05,-6.40509537673826e-05,0.5026991630834119,-0.00012664087472957775,-0.0002518583448436552,1.5263490302508498,-0.000384520585130943,-0.0002518583448437314,0.005331944569662156,-1.1411922535425889e-10,-2.1402927472482002e-08,0.0161894210711163,-3.4650101191080473e-10,-2.140292744086226e-08,0.005331944227301988,-4.564793933473088e-10,-8.561217724854124e-08,0.016189420031605693,-1.386011617976468e-09,-8.561217737331934e-08,0.005331942857865306,-1.8259160754555137e-09,-3.4244842805844444e-07,0.016189415873575395,-5.5440419165220245e-09,-3.4244842811300247e-07
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.05,0.05854102289211893,OK,0.008391594817878404,-0.008391594817878404,0.00031461897768556013,0.503347722682332,0.005374207302419673,0.0012750000003976035,2.039827194599523,0.02177908771787473,0.00020398271945995232,0.00021779087717874732,-0.0010543013709676252,-3.317032195063187e-07,0.5033410013825096,-6.721299822376459e-06,-1.3353194063457284e-05,2.0397999563911378,-2.7238208385238494e-05,-1.3353194063375618e-05,0.5033209183042016,-2.6804378130407258e-05,-5.325220900487471e-05,2.0397185692954225,-0.00010862530410049587,-5.325220900480354e-05,0.5032417854250373,-0.00010593725729468595,-0.00021046535530179416,2.0393978816442573,-0.0004293129552657149,-0.00021046535530182568,0.005374207187397451,-1.1502222264925255e-10,-2.140263971534279e-08,0.021779087251744763,-4.661299679575848e-10,-2.1402639724666628e-08,0.005374206842331808,-4.600878653754359e-10,-8.561036809433956e-08,0.021779085853359016,-1.8645157154328906e-09,-8.561036805516092e-08,0.005374205462067676,-1.8403519975312976e-09,-3.424415721184966e-07,0.021779080259809694,-7.458065037074801e-09,-3.424415721028457e-07
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,BLACK_SHIFT,0.05,0.06540087999468225,OK,0.009374924771291404,-0.009374924771291404,0.0003549259129299147,0.503739999082507,0.005426769716667414,0.0018000000007478373,2.5547078015244145,0.027521759156504746,0.00025547078015244145,0.00027521759156504745,-0.0015737489049674203,-5.585642668180152e-07,0.5037340976409704,-5.901441536559915e-06,-1.171525300216099e-05,2.554677872476173,-2.9929048241505996e-05,-1.1715253002181734e-05,0.5037164490972675,-2.3549985239457172e-05,-4.6750278481657654e-05,2.554588368223254,-0.00011943330116048756,-4.675027848164113e-05,0.50364668464308,-9.331443942695028e-05,-0.00018524325961192216,2.554234559123904,-0.00047324240051027644,-0.0001852432596118777,0.005426769600522241,-1.1614517334002095e-10,-2.140226680032147e-08,0.027521758567476715,-5.890280312115248e-10,-2.1402266761436596e-08,0.005426769252087071,-4.6458034294594164e-10,-8.560900262988144e-08,0.027521756800394395,-2.3561103519587068e-09,-8.56090026280839e-08,0.005426767858348475,-1.8583189397014532e-09,-3.424355623556197e-07,0.027521749732075673,-9.424429073950913e-09,-3.424355623620613e-07
ATM,ATM 1M x 6Y,1M,6Y,0.0821917808219178,6.0,-0.0020399999999999997,0.0,-0.0020399999999999997,CALL/PAYER,24.0,6.094626774759634,0.00039378949502525583,BLACK_SHIFT,0.05,0.07179072788169075,OK,0.010290880997653662,-0.010290880997653662,0.00039378949517826847,0.5041053950706659,0.005485048082551317,0.002400000000932555,3.0723342380984633,0.033429320904761244,0.00030723342380984634,0.00033429320904761244,-0.0021976836691410817,-8.654247426325914e-07,0.5041001318952659,-5.263175399949915e-06,-1.04406250189251e-05,3.072302161008751,-3.20770897124234e-05,-1.044062501880545e-05,0.504084382790676,-2.1012279989851557e-05,-4.168231523668982e-05,3.0722061760942387,-0.0001280620042245495,-4.168231523657724e-05,0.50402198857942,-8.340649124582988e-05,-0.00016545447055597945,3.071825906663728,-0.0005083314347351653,-0.0001654544705558413,0.005485047965161222,-1.173900950404705e-10,-2.140183518425378e-08,0.03342932018931243,-7.154488113059188e-10,-2.1401835034106823e-08,0.005485047612990845,-4.695604712348644e-10,-8.560735734087731e-08,0.03342931804296543,-2.861795814212975e-09,-8.560735715709312e-08,0.005485046204309861,-1.8782414555953975e-09,-3.424293510881589e-07,0.03342930945758058,-1.144718066170558e-08,-3.4242935099753074e-07
ATM,ATM 1M x 7Y,1M,7Y,0.0821917808219178,7.0,-0.00147,0.0,-0.00147,CALL/PAYER,30.5,7.117618373361374,0.00042851412368707876,BLACK_SHIFT,0.05,0.07720393802572645,OK,0.011066840554706298,-0.011066840554706298,0.00042851412372708897,0.5044149404876065,0.0055501913618267165,0.0030500000002847776,3.590233048212572,0.039504144012609425,0.00035902330482125725,0.00039504144012609426,-0.002923862303292779,-1.2529162927941733e-06,0.5044101601978448,-4.780289761696643e-06,-9.476899627666948e-06,3.590199023934334,-3.4024278237954064e-05,-9.4768996276978e-06,0.5043958503359903,-1.9090151616163453e-05,-3.7846126440484564e-05,3.5900971717986785,-0.00013587641389367633,-3.784612644054501e-05,0.504339073332926,-7.586715468044236e-05,-0.00015040624016232211,3.589693054758484,-0.0005399934540881723,-0.0001504062401623239,0.005550191243044317,-1.1878239971480076e-10,-2.140149626763613e-08,0.03950414316716163,-8.454477951058692e-10,-2.1401496380633095e-08,0.00555019088669742,-4.751292961499565e-10,-8.560593053021846e-08,0.03950414063082042,-3.381789008549685e-09,-8.560593054415362e-08,0.005550189461309314,-1.900517402307622e-09,-3.424237613461513e-07,0.039504130485451844,-1.352715758157208e-08,-3.4242376134651377e-07
ATM,ATM 1M x 8Y,1M,8Y,0.0821917808219178,8.0,-0.0008799999999999999,0.0,-0.0008799999999999999,CALL/PAYER,37.5,8.138986830230705,0.0004607453087491608,BLACK_SHIFT,0.05,0.08201405913096843,OK,0.011756349984948079,-0.011756349984948082,0.00046074530886402315,0.5046899970364823,0.005617623213990867,0.0037500000009348627,4.107665239229103,0.04572176135586995,0.00041076652392291034,0.0004572176135586995,-0.0037510642984193154,-1.7282852787440179e-06,0.5046856042754261,-4.3927610562377595e-06,-8.7038797718042e-06,4.107629486604718,-3.5752624385487763e-05,-8.703879771906037e-06,0.5046724506405954,-1.7546395886913757e-05,-3.476668051664473e-05,4.107522429344061,-0.00014280988504200565,-3.47666805167422e-05,0.5046202039867519,-6.979304973042666e-05,-0.00013828894993015198,4.107097194516506,-0.0005680447125975263,-0.0001382889499301391,0.0056176230937669824,-1.202238846670367e-10,-2.140120119975568e-08,0.04572176037736934,-9.785006138685048e-10,-2.140120119722555e-08,0.005617622733096114,-4.808947528384122e-10,-8.56046649125076e-08,0.04572175744187389,-3.91399605781384e-09,-8.560466486296781e-08,0.005617621290413682,-1.9235771846898286e-09,-3.4241833448336286e-07,0.045721745699900576,-1.565596937508351e-08,-3.42418334526247e-07
ATM,ATM 1M x 9Y,1M,9Y,0.0821917808219178,9.0,-0.00027,0.0,-0.00027,CALL/PAYER,44.75,9.160183421584682,0.0004885273355395147,BLACK_SHIFT,0.05,0.08589287153364444,OK,0.012312360461871273,-0.012312360461871273,0.0004885273355341273,0.5049117970594623,0.0056873479875249044,0.0044749999999506495,4.625084672786616,0.05209715074810863,0.0004625084672786616,0.0005209715074810863,-0.004680845248447696,-2.286720857271733e-06,0.5049077047531921,-4.092306270186974e-06,-8.104992384848225e-06,4.625047186510564,-3.74862760521566e-05,-8.104992384835865e-06,0.5048954482595597,-1.6348799902643485e-05,-3.2379516576670765e-05,4.624934914780785,-0.00014975800583094667,-3.237951657665921e-05,0.5048467273111381,-6.506974832420909e-05,-0.00012887349573364388,4.62448862195677,-0.0005960508298459288,-0.0001288734957336052,0.005687347865810516,-1.2171438856789507e-10,-2.140090404787493e-08,0.05209714963318251,-1.114926123646498e-09,-2.1400904034794552e-08,0.0056873475006682245,-4.868566799709484e-10,-8.560346246420296e-08,0.052097146288412145,-4.459696487102427e-09,-8.560346243627027e-08,0.005687346040099059,-1.9474258455831617e-09,-3.4241369612951506e-07,0.052097132909330685,-1.7838777947865037e-08,-3.424136961753646e-07
ATM,ATM 1M x 10Y,1M,10Y,0.0821917808219178,10.0,0.00032,0.0,0.00032,CALL/PAYER,52.5,10.171537208212454,0.0005161461726513838,BLACK_SHIFT,0.05,0.08968499346421832,OK,0.012855944245844594,-0.012855944245844594,0.0005161461726905167,0.5051286384408835,0.00575478369319522,0.005250000000398041,5.137934740835142,0.058534996460549465,0.0005137934740835142,0.0005853499646054946,-0.005702561046928345,-2.9433550589060913e-06,0.5051248103962042,-3.828044679354825e-06,-7.578356062270326e-06,5.137895803736252,-3.893709889002395e-05,-7.57835606212759e-06,0.5051133433783134,-1.5295062570142015e-05,-3.0279539519579297e-05,5.137779166537109,-0.00015557429803347844,-3.0279539519451104e-05,0.5050677310353049,-6.090740557862517e-05,-0.00012057800913173391,5.137315218893044,-0.0006195219420979114,-0.00012057800913158576,0.005754783570038197,-1.231570236417956e-10,-2.1400808476506837e-08,0.05853499520785322,-1.2526962453462964e-09,-2.140080842390705e-08,0.005754783200572627,-4.926225928916783e-10,-8.560227788825199e-08,0.05853499144982043,-5.0107290330836385e-09,-8.560227788619914e-08,0.005754781722705146,-1.970490074061637e-09,-3.4240905985600385e-07,0.05853497641763636,-2.0042913106976812e-08,-3.424090598601989e-07
