C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
DeltaPrice_per1bp (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
10Y,1.2548776163669092e-05,2.4544179522211916e-05,3.635571054581675e-05,4.7813259284897167e-05,5.906260810816498e-05,7.033137727188667e-05,8.157985513876831e-05,9.283613080773834e-05,0.00010350181131253027,0.00011537132986049153,0.00016652120784703536,0.00021676096181735501,0.0002637421665637363,0.00031221678444157434
15Y,1.4841745083086282e-05,2.945709882474606e-05,4.392587508155675e-05,5.801959772735554e-05,7.20075888161147e-05,8.598615915402538e-05,9.954868944594356e-05,0.00011295941472764626,0.00012707568605486367,0.00014094018596058102,0.000202815897382248,0.0002629248011323214,0.0003185897435488568,0.0003747222222980958
20Y,1.7426509419222157e-05,3.467443092266111e-05,5.192273612782036e-05,6.782055810086821e-05,8.498482412102346e-05,0.00010191653233904737,0.00011783210496613258,0.00013392213410276489,0.00014966540064746605,0.00016557852735242463,0.0002381871667075134,0.00030562278910625904,0.0003680398796061025,0.0004297512816437733
25Y,1.9668548536677657e-05,3.923541247361485e-05,5.8812751921555936e-05,7.769400512694851e-05,9.63133640410305e-05,0.00011485862132767151,0.00013401386027767016,0.00015001856663143852,0.00016797020484015583,0.0001855516146718123,0.00026814058964130805,0.0003417588706442123,0.0004101404657301487,0.00047572533862758623
30Y,2.151696981100657e-05,4.2932133487253235e-05,6.440391125628255e-05,8.528301885169263e-05,0.00010610932474339457,0.00012637571160215694,0.0001452869631242132,0.00016361556066293262,0.00018179212842025561,0.0002004211332542348,0.00028895539675957704,0.0003685541934331073,0.0004412856583772616,0.0005085786701858443
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VegaPrice_per1pct (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
1M,0.00010490994987985039,0.00021373454648684008,0.00032378842835234625,0.00043558175435749464,0.0005504351831300949,0.0006685864180952249,0.0007900828802521885,0.000914435227117399,0.0010419430149621726,0.0011706999292109893,0.0018298711964646836,0.002466808994000355,0.0030639226066712212,0.003629812437593245
2M,0.00014985673349695496,0.0003048467137410957,0.000461133544091053,0.0006213048201887168,0.0007856355966460598,0.0009554912116063079,0.0011284261870291477,0.0013056718025361977,0.0014871524778199727,0.00167130999093745,0.0026106170985697543,0.003516565916756323,0.0043670451042864674,0.005173729819984668
3M,0.00018337500817410131,0.0003744712282401425,0.0005678543257220341,0.0007643178770548836,0.0009659354084642348,0.0011735909761790213,0.001387198329005898,0.00160559097454093,0.0018295371851179273,0.0020552812769540304,0.003208745922348928,0.004320407672206105,0.005362859066996856,0.0063509479952014196
6M,0.00025765713491653465,0.0005273736782252158,0.0007989877390873465,0.0010783988563907376,0.0013634573986993517,0.0016572447101698984,0.0019584176051476517,0.0022675793916149475,0.0025835046542525505,0.002902105856753363,0.004521352440380834,0.006077668585852775,0.007534772624299484,0.008921738550526845
9M,0.0003162792281092061,0.0006485507116880778,0.0009834698192145773,0.0013279946658838735,0.0016793952763266703,0.002041636079522984,0.0024135758803657294,0.002793902657284991,0.003182383031251755,0.0035739703857334652,0.005557028425185984,0.007457501285068613,0.009237808178686597,0.01093234375509837
1Y,0.0003661249368246216,0.0007518202835098894,0.0011406288310251984,0.0015409014005928793,0.0019490317547750703,0.0023703162541881483,0.0028014187870267077,0.003242677060971878,0.003692677943032481,0.004146076865143349,0.00643281019655713,0.00861857282754459,0.010667297883264877,0.0126172555596533
18M,0.00045033621763194916,0.0009261598903440435,0.0014087034613403388,0.0019002889345314828,0.002404975979589719,0.002923894107412419,0.0034560213444399957,0.003997675192400446,0.004550247286776006,0.005104716248261217,0.007886290654706113,0.010534653284708258,0.013016165214900654,0.0153846375602598
2Y,0.0005248466204220337,0.0010797547152925173,0.001643679019517882,0.0022171650705270366,0.0028068810064275245,0.003412897668685763,0.004031931711155616,0.004660599462699119,0.005302276739155381,0.00594238192119258,0.009138243762956154,0.012172163606141864,0.015013585345611834,0.01773434620641088
3Y,0.0006549442380105957,0.0013519211551002738,0.0020505413647648693,0.0027683417758018443,0.003506135076474837,0.004259688679142833,0.005025257426549233,0.005806470092852321,0.006585062801142456,0.007367895123919495,0.01123238127568639,0.014876047376575994,0.018308470092594196,0.02159295969299822
4Y,0.0007773372364754798,0.0015917154495193025,0.0024167021564950875,0.0032635868481170243,0.004130100210570162,0.005010107041004031,0.005906512290266091,0.006802122394210061,0.00770047839385474,0.008602374619183601,0.013003463823374934,0.017130308738203696,0.021033194818603555,0.02478283120602705
5Y,0.0008844708155617341,0.0018184029017122311,0.002762686695902199,0.003732874295316114,0.004709955524394471,0.0057021192875669185,0.006702163493882857,0.00767687878403547,0.00871110463974507,0.009715548166457724,0.014556479820663451,0.0190966782293725,0.023405779649246904,0.02755300695491103
7Y,0.001100377552869547,0.002249633792803656,0.0034109488670816,0.004580275191581776,0.005756096201427153,0.006940522782219687,0.008125159578218312,0.009304361051489463,0.01047932071039442,0.011627706483062373,0.017203488468445154,0.022433429674420746,0.02743600867223233,0.03225680181414766
10Y,0.0014057805645563094,0.0028254690013750972,0.004242656353725514,0.005665658539714401,0.007083016228596995,0.008487562937644515,0.009877775131688488,0.011207539056494513,0.012604920503047703,0.013938379694518792,0.020375231274666467,0.026482953836736593,0.032364451842208736,0.03806346293380145
15Y,0.0017617248025098447,0.003512452782643251,0.005233017175673538,0.006941581256865373,0.008620903832246736,0.010280371727835396,0.011928829455206682,0.013541242750732953,0.015131185445757813,0.016708002642777192,0.02440336780891843,0.03181022326938307,0.039009663188201725,0.04608242136777971
20Y,0.0019667327680630356,0.003924594227918528,0.005834901153363222,0.007785840666424845,0.009602312785774116,0.011458956321327053,0.013296782520777362,0.015137835678902931,0.01693060904702196,0.01872856618276095,0.02754209634035109,0.03611544877043388,0.044563258356948084,0.05289671112236334
25Y,0.002115352803508057,0.004204530165769647,0.0062971188448153,0.00833907568251569,0.010386879675728449,0.012418052352628,0.014274721018693206,0.016468130186454523,0.018445704534153656,0.02042076049522856,0.030184348537527696,0.039832407716290444,0.049372205474514756,0.0589256863780448
30Y,0.0022407194341803644,0.004477842541382386,0.006702144653540187,0.008889546658402173,0.011068110409830441,0.01323397706775844,0.015419886425723933,0.01756757732383899,0.019742202304977363,0.021883813010196276,0.0325487997777199,0.043133326956221865,0.0537531964410803,0.06469915874138639
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ParDeltaPrice_per1bp (ATM),,,,,,,,,,,,,,
