C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
VegaPrice_FD (dv=0.0025) - per1pct (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
2M,0.0001498566291506039,0.0003048465014782598,0.0004611332230171119,0.0006213043876076175,0.0007856350496621353,0.0009554905463919266,0.001128425401455348,0.0013056708936007198,0.0014871514425820363,0.0016713088275338462,0.0026106152814401617,0.003516563469152176,0.004367042064768237,0.005173726219044668
3M,0.00018337481560390062,0.0003744708350026898,0.0005678537294372749,0.000764317074526584,0.0009659343942843596,0.0011735897440442867,0.0013871968727094336,0.0016055892890675235,0.0018295352646487443,0.002055279119628139,0.0032087425546407536,0.004320403138078008,0.005362853438867979,0.006350941330336579
6M,0.000257656599683899,0.0005273725827798965,0.0007989860795860281,0.0010783966168237326,0.0013634545674211485,0.001657241269180777,0.0019584135393105827,0.0022675746843919794,0.00258349929173416,0.002902099833397093,0.004521343058004153,0.0060776559751231,0.007534756990839791,0.008921720039830132
9M,0.00031627823908219417,0.0006485486838062628,0.0009834667445949854,0.0013279905149147472,0.0016793900276654953,0.002041629699642832,0.0024135683393024334,0.0027938939290180907,0.0031823730906853183,0.003573959223396354,0.005557011073524303,0.00745747800186249,0.009237779338555135,0.010932309626254947
1Y,0.00036612340773160037,0.0007518171439176696,0.0011406240687615208,0.0015408949685429875,0.0019490236205268465,0.0023703063636083357,0.0028014070997780622,0.003242663535168403,0.0036926625425327355,0.0041460595763543676,0.006432783378572707,0.00861853690276798,0.010667253422044031,0.012617202975073603
18M,0.0004503334076937364,0.0009261541125051729,0.001408694676055314,0.001900277086943587,0.0024049609890745673,0.0029238758878376344,0.0034559998145256557,0.003997650293124421,0.004550218951918827,0.0051046844673752825,0.007886241567994256,0.010534587725639855,0.013016084218360018,0.015384541841888437
2Y,0.0005248422463271793,0.0010797457194610767,0.0016436653315183615,0.0022171466130222572,0.002806857646938849,0.0034128692742767886,0.004031898176511793,0.004660560708888135,0.005302232660358743,0.005942332533832126,0.009138167832705761,0.012172062481934925,0.015013460628508262,0.01773419891445242
3Y,0.0006549360702810502,0.0013519043007870022,0.0020505158140298654,0.0027683072952231825,0.0035060914256039417,0.004259635661911498,0.005025194904893071,0.00580639786396908,0.0065849809081064215,0.0073678035171163316,0.011232241631056681,0.014875862458907043,0.018308242539494007,0.02159269135018434
4Y,0.0007773243478875771,0.0015916890637238481,0.002416662117965486,0.003263532800687413,0.004130031836205887,0.005010024116206816,0.005906414557159341,0.006802009872510447,0.007700351037782643,0.00860223236032177,0.013003248761180853,0.017130025441962956,0.021032846984772563,0.024782421405822194
5Y,0.000884452536421202,0.0018183653202502302,0.0027626296141922166,0.0037327971952288213,0.0047098582794678125,0.005702001571179307,0.0067020251541027665,0.00767672036414635,0.00871092489542638,0.00971534771591188,0.014556179378855899,0.019096284086065705,0.023405296532416204,0.027552438298523912
7Y,0.0011003459458453389,0.0022495691396876424,0.00341085083432619,0.004580143541844797,0.00575593074232358,0.006940323268222419,0.008124926003108551,0.009304093566919554,0.010479019479459544,0.011627372283719501,0.017202993666293888,0.02243278436438832,0.027435219147233958,0.03225587353687838
10Y,0.0014057234058624931,0.002825354029746138,0.004242483646447437,0.0056654277898659676,0.007082727638407796,0.008487217053693543,0.009877372545622251,0.011207082266735873,0.012604406628537054,0.013937811632989164,0.020374400014566165,0.026481872868592937,0.03236312986394717,0.03806190780603718
15Y,0.0017616185365760004,0.0035122408297782086,0.005232701376087858,0.006941162167562362,0.008620383212463641,0.010279750816962868,0.011928108704963723,0.013540424360039369,0.0151302711667836,0.01670699315081245,0.024401890337496426,0.031808294955418204,0.03900729484895776,0.046079621120518555
20Y,0.001966576821412366,0.003924282872604693,0.0058344383788339425,0.007785222074289,0.009601550246903838,0.01145804649244839,0.013295726032710469,0.015136632408211444,0.016929262736153153,0.01872707653534244,0.02753989857154306,0.036112558513216785,0.04455968227077241,0.05289245818649302
25Y,0.002115146096154203,0.0042041192687765315,0.0062965033822018025,0.008338260012389371,0.010385862792704311,0.012416835849244147,0.014273322891220202,0.016466513055756776,0.018443892493706277,0.020418753351951917,0.030181370083070612,0.03982845906482549,0.04936729189545653,0.05891980438362324
30Y,0.0022404601581405216,0.004477324295493177,0.006701368888886889,0.008888516912603187,0.011066827691178954,0.013232441693898134,0.015418093521073218,0.017565530326667272,0.019739897683328865,0.021881255836516216,0.03254497669687367,0.04312823280092433,0.05374681745009749,0.06469144894472305
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VegaPrice_FD (dv=0.0025) - per1pct (OTM) - Collars/Strangles,,,,,,,,,,,,,,
,Collars,,,,,,ATM,Strangles,,,,,,
,50,100,150,200,300,400,ATM,50,100,150,200,300,400,
1M2Y,,,,,,,,,,,,,,
1M5Y,6.1693698875041145e-06,,,,,,,1.4289664157649763e-05,,,,,,
1M10Y,1.2225141724004135e-05,,,,,,,0.00014860888388236066,,,,,,
1M20Y,-1.5458671328421395e-05,-7.6045539793360485e-06,,,,,,0.0005547119716589879,3.71197837340147e-05,,,,,
1M30Y,-0.0001383746362659221,-5.015707379194299e-05,-4.382335828712879e-06,,,,,0.0008532973727000521,7.169757722107045e-05,4.382335828712879e-06,,,,
3M2Y,,,,,,,,,,,,,,
3M5Y,3.857149171244007e-05,1.2533334219917948e-05,,,,,,0.00021621449177531936,2.0377871718146955e-05,,,,,
3M10Y,5.905590443974429e-05,4.27472226443848e-05,2.4128687022111252e-05,1.2408535643172472e-05,,,,0.0009609789173409502,0.00029330859399573155,9.22442989823993e-05,3.244407265182034e-05,,,
3M20Y,7.613236253366934e-06,-8.018933020350526e-05,-6.372663393280338e-05,-3.409240599726353e-05,,,,0.002449812310665927,0.0009432066918389837,0.0003445865530864075,0.00013241811899074798,,,
3M30Y,-1.0214087899807767e-05,-0.00016401970456075387,-0.00013557244533613292,-7.795853429236498e-05,,,,0.0036855552979192887,0.0014606434101460015,0.0005472065001541624,0.00021267039249192642,,,
6M2Y,-6.192279391153272e-07,,,,,,,7.822069010559727e-05,,,,,,
6M5Y,5.3182277537838326e-05,3.755657410790587e-05,1.420674643336253e-05,7.435527589060809e-06,,,,0.0005660543767351246,0.00013727762715112752,3.1867700653473904e-05,7.435527589060809e-06,,,
6M10Y,9.014348104977546e-05,8.639442118887716e-05,6.101168699450925e-05,4.341291158997351e-05,,,,0.0018090662240140326,0.0008401194242824471,0.0003792970472234312,0.00018032228270262608,,,
6M20Y,0.00011453323667712207,2.2425147531902334e-05,-2.6730739146584233e-05,-2.597660865766169e-05,,,,0.004240065904395732,0.0022735775978237538,0.0011470103477349439,0.0005860404194519839,,,
6M30Y,0.00013980752836851407,-4.574308598296578e-05,-0.00012777709364196574,-0.00011335649698352296,,,,0.006314390283976627,0.0034416702667082757,0.0017575190221292836,0.0009039344974135863,,,
9M2Y,6.073920868231997e-06,,,,,,,0.00017554118702538816,,,,,,
9M5Y,6.662616493097066e-05,6.011404580182442e-05,2.8955820716853256e-05,9.751990763430269e-06,,,,0.0008811593574503981,0.00027966778116527314,7.834462972038369e-05,2.154419278352736e-05,,,
9M10Y,,0.00013966920086390082,0.00011526113670818533,8.905876858592778e-05,,,,,0.0013856575706781213,0.0007350540808664504,0.0004007196995341122,,,
9M20Y,0.0001974430954639167,0.00014741876451737634,7.584038593939025e-05,-4.1032788912408195e-05,,,,0.005666202969469376,0.003486236124964546,0.0020219193549877628,0.001142121684893163,,,
9M30Y,0.00026065479553966266,0.0001252382000072333,-5.75807462911776e-06,-0.00022008873122751364,,,,0.008397593227850764,0.005232885108380616,0.0030634220288812786,0.0017139363712009132,,,
1Y2Y,,,,,,,,,,,,,,
1Y5Y,7.972312591870853e-05,8.61205570089528e-05,,3.0076028852421416e-05,8.300495910809393e-06,,,0.001183322897032139,0.0004847230201703242,,6.190477477578508e-05,8.300495910809393e-06,,
1Y10Y,,0.00018593236794145845,,0.000125307449572424,8.5396976378691e-05,5.9976139727377654e-05,,,0.001873003850041175,,0.0005916128169802641,0.0002155059975993041,9.656476539907739e-05,
1Y20Y,0.0002633136308898526,0.00024406966835017362,,8.032114081128638e-05,5.601593007451684e-05,6.0144542392034686e-05,,0.006857434900470496,0.0044749389565678175,,0.001560396202609237,0.0005505484047712556,0.000223883523677882,
1Y30Y,0.0003612846739721981,0.0002735726298133157,,-5.6934168283862e-06,-3.1377243934267304e-05,-5.179877717272404e-06,,0.01015054437221701,0.006742210381101846,,0.0024494971514537637,0.0008637640886888327,0.0003139276085393298,
2Y2Y,4.6891125936386335e-05,5.9837492957835125e-05,,3.1433727304792884e-05,1.0222436131683553e-05,,,0.0007350709640335051,0.00036169235732917053,,6.597578041967039e-05,1.558314017260423e-05,,
2Y5Y,0.00012401528574208217,0.00018169402031756535,,0.0001409525473778764,6.65702927337293e-05,2.933877252366045e-05,,0.0022066908393586176,0.0013976530357135805,,0.00043117479280950667,0.00012487617799732825,4.135843331006914e-05,
2Y10Y,0.0002477640561074701,0.00037565151828294424,,0.0003522758118464106,0.00022146123850342992,0.0001411500139418201,,0.005065228429676257,0.003704299855793295,,0.0015955287316240321,0.0006125376763570878,0.00025181902881597654,
2Y20Y,0.00046299721392153103,0.0006484068026386774,,0.0005192269037609889,0.0003009281232421902,0.00021241740394359066,,0.010613115796049004,0.008086213376691997,,0.003858068184107052,0.0016206134035180026,0.0006932683985526304,
2Y30Y,0.0006748471273241619,0.0009385861375710147,,0.0007445489270634792,0.0004355824275529906,0.0002625919855866742,,0.015555343039307213,0.011989796262257086,,0.005921367135881502,0.0026036228332408933,0.001102905218207886,
5Y2Y,8.739719003465082e-05,0.00016315727600185647,,0.00025236546532819373,0.00025497445780261747,0.00021307942975222838,,0.0016658026604094928,0.0013948271434831257,,0.0008645345065295913,0.0005074037833788627,0.00030407197965148086,
5Y5Y,0.00021465195983949497,0.00039027453228892645,,0.0005786173802798186,0.0005767397510276586,0.00047386229509983636,,0.004365112936631094,0.0037316686611690276,,0.002411378142790898,0.0014224378066186034,0.0008081889276352322,
5Y10Y,0.00042120348970615343,0.0007544717958483227,,0.0010941361316243103,0.0010793252160499593,0.0008868626373216787,,0.009085189458231656,0.007896541387809585,,0.005294697744553034,0.0031996552800691515,0.001813084673692158,
5Y20Y,0.0008089837799583766,0.0014221948456657019,,0.0019747770884422384,0.0018791564122144905,0.0015132167097035305,,0.017853106717031907,0.015508896053874123,,0.010384251421745346,0.006256827948228836,0.00352236712328477,
5Y30Y,0.0011776765794295986,0.0020449712742509774,,0.0027554065146743255,0.002547912688244799,0.0020188047374233827,,0.0257198285378115,0.02227707898874594,,0.014792240648136857,0.008818200307216244,0.004897588016017798,
10Y2Y,0.00012452974585692306,0.0002407277502575092,,0.00043085548176007986,0.0005542940568137633,0.0006046859582079609,,0.002728859514941654,0.0025345302467397724,,0.0020481781820389138,0.0015669573380823942,0.0011675576396900011,
