C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
"DeltaPrice_FD_df=0,5bps -> per1bp (ATM STRADDLE)",,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
2M,5.969188681113291e-07,1.3910836728032284e-06,2.505458242911063e-06,3.864506754212016e-06,5.193149949614995e-06,7.008620026282486e-06,9.086206104223837e-06,1.105760636604316e-05,1.3129547652257401e-05,1.5157251770538061e-05,2.475143645578033e-05,3.436206019178414e-05,4.2945329768453534e-05,5.1518176317608426e-05
3M,7.082458818792992e-07,1.6620085857428801e-06,2.9872986429036797e-06,4.818993410385453e-06,6.6095711265692365e-06,8.77108430298632e-06,1.128324140658723e-05,1.3782998288600013e-05,1.631627856113571e-05,1.8996716568598338e-05,3.086297393434165e-05,4.2742201561173946e-05,5.2842498747935096e-05,6.409527265010695e-05
6M,9.853072272033137e-07,2.362327219216853e-06,4.158667105039138e-06,6.604917554095291e-06,9.20493471179391e-06,1.2098857965473987e-05,1.542878291396033e-05,1.876509242079507e-05,2.2325602894169806e-05,2.5805556172891465e-05,4.176890728086917e-05,5.7113622378454566e-05,7.15632420830346e-05,8.569309788221986e-05
9M,1.2603887524432978e-06,2.9487669905750472e-06,5.3707597624141905e-06,8.372086864112749e-06,1.1460150124041403e-05,1.4927763942500772e-05,1.8705526174493947e-05,2.2585536277451725e-05,2.677595431114117e-05,3.106831189198402e-05,4.986536666350965e-05,6.77357984479002e-05,8.462610484633295e-05,0.00010155467014152961
1Y,1.5878301669979723e-06,3.5825951253438685e-06,6.4119382190368944e-06,9.805270747377204e-06,1.337795842769154e-05,1.7410941013502425e-05,2.1744784758267867e-05,2.6260528976669483e-05,3.087777296484564e-05,3.56846946183893e-05,5.612554722929559e-05,7.638025579088713e-05,9.563483896081487e-05,0.00011518206765664765
18M,2.177373869804056e-06,4.8812851387492365e-06,8.560751181647808e-06,1.266957767424044e-05,1.7031096378084333e-05,2.208615965545695e-05,2.7299614834922806e-05,3.249078467342947e-05,3.805704227540403e-05,4.380704445307107e-05,6.75785310471289e-05,9.135419901260492e-05,0.00011373858683904921,0.000138208071873769
2Y,2.8610808306389404e-06,6.414777046279552e-06,1.0916409782911663e-05,1.5721077681610575e-05,2.0896981638786463e-05,2.6432583179381732e-05,3.2320228987042566e-05,3.827609074270537e-05,4.4484000319149786e-05,5.098736673292166e-05,7.77864331614973e-05,0.00010402445657492159,0.00012975571280724162,0.0001568685614622954
3Y,4.5485141226500715e-06,9.570411528241919e-06,1.534981747081714e-05,2.147059498852233e-05,2.8116009179484538e-05,3.4691890873669794e-05,4.189648685816625e-05,4.8564862130331044e-05,5.571932820814585e-05,6.29634049247139e-05,9.374388282933275e-05,0.00012454156366187023,0.000155218878549805,0.00018578592020608264
4Y,6.142327183743013e-06,1.2458769280357674e-05,1.9526706224016488e-05,2.6803107868097966e-05,3.427086002922364e-05,4.168006707304288e-05,4.9506827153727785e-05,5.740918143946283e-05,6.522612169024989e-05,7.269694810175728e-05,0.00010681711240561676,0.000140856021617547,0.00017393989805433705,0.00020766703330987648
5Y,7.59515062753513e-06,1.5168507696112333e-05,2.307725623698307e-05,3.13557546542949e-05,3.984375894610928e-05,4.796740318125279e-05,5.627074492608797e-05,6.490743908871109e-05,7.316347961860945e-05,8.146570570842152e-05,0.00011812884376283872,0.00015527083585262246,0.0001908739970017436,0.00022777289995056017
7Y,1.002823418121286e-05,1.9691072813294963e-05,2.9497446887682613e-05,3.9104076172081694e-05,4.860105126950165e-05,5.807973358364853e-05,6.748890864925548e-05,7.678499687869564e-05,8.644475301497359e-05,9.606016713283605e-05,0.00013854425463036683,0.00018124293296818017,0.00022072899057134273,0.0002620303423047556
10Y,1.2548579874648613e-05,2.4543792649744756e-05,3.635513435485889e-05,4.781249265586723e-05,5.9061651616647294e-05,7.033023348508439e-05,8.1578523312358e-05,9.283460424139856e-05,0.00010350010088043132,0.00011536944428935403,0.00016651829643817245,0.00021675698507305014,0.00026373703350438405,0.0003122104860874199
15Y,1.4841594108228541e-05,2.945679524491838e-05,4.392541978784936e-05,5.80189866856121e-05,7.200681950705948e-05,8.598523158312572e-05,9.954759653632878e-05,0.00011295815631574149,0.00012707426959209655,0.00014093860679218332,0.00020281340412692651,0.0002629213439042495,0.00031858522412976957,0.0003747166195613037
20Y,1.7426374125126287e-05,3.46741575270225e-05,5.1922325608656596e-05,6.782000628846028e-05,8.498412454152976e-05,0.00010191569077581235,0.00011783111091579883,0.00013392098836129823,0.00014966410065933182,0.00016557707388238968,0.00023818486092592046,0.0003056195427580633,0.00036803560640960277,0.00042974593410952377
25Y,1.9668420864232494e-05,3.923515516355723e-05,5.881236434226338e-05,7.769348312977358e-05,9.631270465612572e-05,0.0001148578229629269,0.00013401290629753016,0.0001500174723766703,0.00016796896419628027,0.00018555022502381781,0.00026813838622988213,0.00034175574813869006,0.0004101363331945187,0.0004757201617410232
30Y,2.1516846657411116e-05,4.293188719308136e-05,6.440353902077742e-05,8.528251768139935e-05,0.00010610869424516593,0.0001263749451982177,0.0001452860531708364,0.00016361449812232298,0.00018179091215316632,0.00020041976772173362,0.0002889532312266164,0.00036855112321681214,0.00044128161648234577,0.000508573639418453
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DeltaPrice_FD_df=2bps -> per1bp (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
1M,3.452908377630015e-07,9.106210191886177e-07,1.6390975984859503e-06,2.627480674317351e-06,3.6988183286394083e-06,4.902503856782214e-06,6.1767736155593945e-06,7.5207558802306455e-06,8.879382232885824e-06,1.030932295736342e-05,1.6987911747721896e-05,2.3503595685583534e-05,2.9278166252945326e-05,3.514104947762356e-05
2M,5.780774111016962e-07,1.3595154728414106e-06,2.4659823775775804e-06,3.819351048105624e-06,5.1413673867793725e-06,6.954188609340051e-06,9.030240117247068e-06,1.0998926214272586e-05,1.3068470633588093e-05,1.5093471885498034e-05,2.4672642700670445e-05,3.4267939080049104e-05,4.283221545568097e-05,5.1385432967331824e-05
3M,6.922534822724425e-07,1.6353854301645488e-06,2.9539425413666724e-06,4.782634292852173e-06,6.568814213359975e-06,8.727649907957335e-06,1.1238261882239266e-05,1.3735996086155568e-05,1.6267216494892623e-05,1.894595834156565e-05,3.0799922456079723e-05,4.266665958525735e-05,5.2750677471450305e-05,6.398870549094902e-05
6M,9.736366213510372e-07,2.343466597613553e-06,4.134760274735871e-06,6.578471003858067e-06,9.175821112378469e-06,1.2067603158455054e-05,1.5396159090974406e-05,1.8730913753205413e-05,2.229008369156649e-05,2.5768574370803067e-05,4.172275490641848e-05,5.7057548454792696e-05,7.149590662342363e-05,8.561384968839754e-05
9M,1.2512238773962014e-06,2.9336802030845545e-06,5.352331601693728e-06,8.351366390140492e-06,1.1436961942616542e-05,1.4902678309638873e-05,1.8678923914244904e-05,2.2557472445379646e-05,2.6746695519834063e-05,3.103797304178375e-05,4.982713380703921e-05,6.768894050375955e-05,8.456959800714188e-05,0.0001014882362163462
1Y,1.5805598124588817e-06,3.5702375987896053e-06,6.3966104954223725e-06,9.78773548807359e-06,1.3358294022582751e-05,1.7389682864999578e-05,2.1722173580673143e-05,2.623669669301059e-05,3.085272749661634e-05,3.56586271932688e-05,5.6091964870654825e-05,7.633908609687872e-05,9.558523421942162e-05,0.00011512389422609212
18M,2.1721318897721e-06,4.8723588636530485e-06,8.549445878550533e-06,1.265629619853419e-05,1.701601990435453e-05,2.206981886296484e-05,2.7282083433065287e-05,3.247203555382381e-05,3.803727202088734e-05,4.378637760794888e-05,6.755129065913224e-05,9.132041859986302e-05,0.00011369752635316957,0.00013816027194319175
2Y,2.8571590201794007e-06,6.4081133887917035e-06,1.0907740166446667e-05,1.571062565242194e-05,2.0885008955541997e-05,2.6419301613630355e-05,3.230583116160339e-05,3.826061708107283e-05,4.4467562808682e-05,5.097009713509433e-05,7.776330294901878e-05,0.00010399534206122248,0.00012972027852576425,0.0001568270331677635
3Y,4.546152088555977e-06,9.566126578898304e-06,1.5343964294275603e-05,2.146335686937295e-05,2.8107602693104818e-05,3.46823423667364e-05,4.188600705141976e-05,4.8553343367950854e-05,5.570693306999069e-05,6.295017838336979e-05,9.372553358833233e-05,0.0001245180959846845,0.00015519012852878013,0.00018575174889617473
4Y,6.140649102191765e-06,1.2455656410238981e-05,1.9522368714509944e-05,2.6797640576133388e-05,3.426436383394913e-05,4.1672577440086215e-05,4.9498452468973665e-05,5.73999828922827e-05,6.521610879760047e-05,7.268608600500901e-05,0.0001068016645975222,0.0001408359371008828,0.0001739149342369288,0.00020763717448871974
5Y,7.59388232708107e-06,1.5166103824717948e-05,2.3073799297671284e-05,3.135134532478876e-05,3.983848757838793e-05,4.7961267419026576e-05,5.626379200708867e-05,6.489967985863397e-05,7.315500838370142e-05,8.145647193718748e-05,0.0001181153759369245,0.00015525312567217853,0.00019085177610861983,0.0002277462259226919
7Y,1.00273854367529e-05,1.968942601412611e-05,2.9495025693320367e-05,3.910091745536106e-05,4.859717189302293e-05,5.8075154304445945e-05,6.74836447559267e-05,7.677905353755428e-05,8.643815932659856e-05,9.60529381414096e-05,0.00013853338509606754,0.00018122836047567185,0.00022071039597293415,0.00026200775434787754
10Y,1.2547991022928851e-05,2.4542632062941472e-05,3.635340582806581e-05,4.7810192830881306e-05,5.905878222076853e-05,7.032680221909145e-05,8.157452794381284e-05,9.283002466997622e-05,0.00010349496972815153,0.00011536378773253784,0.0001665095624726524,0.00021674505521594085,0.00026372163484265947,0.0003121915916839342
15Y,1.4841141190651919e-05,2.9455884519733247e-05,4.392405392832251e-05,5.8017153590001235e-05,7.200451161760527e-05,8.598244891647698e-05,9.954431786318398e-05,0.00011295438114493903,0.00012707002027681505,0.0001409338693690387,0.00020280592450529157,0.00026291097243624545,0.0003185716661815111,0.0003746998117578713
20Y,1.7425968247040013e-05,3.467333734877629e-05,5.19210940641655e-05,6.781835086954385e-05,8.498202582659574e-05,0.0001019131661142601,0.00011782812879915455,0.0001339175511769744,0.00014966020074154917,0.00016557271352466875,0.00023817794367621197,0.000305609803864132,0.00036802278704222503,0.00042972989180976634
25Y,1.9668037849754562e-05,3.923438323919915e-05,5.881120161314675e-05,7.769191715050776e-05,9.63107265174486e-05,0.00011485542788820356,0.0001340100443809539,0.0001500141896416384,0.00016796524229783288,0.0001855460561183902,0.00026813177606481686,0.00034174638073656215,0.0004101239357609018,0.0004757046313216762
30Y,2.1516477198657615e-05,4.293114831465772e-05,6.440242232049975e-05,8.528101417932388e-05,0.00010610680276158063,0.00012637264600063434,0.00014528332332851602,0.0001636113105226847,0.00018178726337861982,0.0002004156711551035,0.0002889467346845633,0.0003685419126633683,0.0004412694909424321,0.0005085585473191635
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"DeltaPrice_FD_df=0,5bps -> per1bp (OTM) - Collars/Strangles",,,,,,,,,,,,,,
,Collars,,,,,,ATM,Strangles,,,,,,
,50,100,150,200,300,400,ATM,50,100,150,200,300,400,
1M2Y,,,,,,,,,,,,,,
1M5Y,3.5394685156211483e-06,,,,,,,1.6735833165652386e-06,,,,,,
1M10Y,4.2944078419208085e-05,,,,,,,4.171265336936836e-06,,,,,,
1M20Y,0.00016781480116565654,7.531734045953573e-06,,,,,,-5.775398061188819e-06,-1.694805566022212e-06,,,,,
1M30Y,0.0002606762469903175,1.537134674832373e-05,7.540366513725919e-07,,,,,-5.2166345278462006e-05,-1.1399722570247409e-05,-7.540366513725919e-07,,,,
3M2Y,,,,,,,,,,,,,,
3M5Y,4.2667246861330046e-05,2.847048969718739e-06,,,,,,9.339554460038983e-06,1.8771760725392288e-06,,,,,
3M10Y,0.0002214766745757876,4.940315826483284e-05,1.3003370965307615e-05,4.071708785900588e-06,,,,1.890403483954264e-05,8.54326171960821e-06,3.8146779238031394e-06,1.6944508046486954e-06,,,
3M20Y,0.0005713954453540585,0.00016172889944480635,4.90349112257703e-05,1.659428083909675e-05,,,,2.6434633972494125e-06,-1.6915271355989582e-05,-1.0427336157163681e-05,-4.750510347867447e-06,,,
